station_number,area_code,parameter,valid_start,valid_end,value,unit,statistic,instantaneous,level,qc_valid_minutes,qc_valid_minutes_start,qc_valid_minutes_end
1019,WA_PT034,AIR_TEMP,1452207600,1452207600,29.3,Celsius,first,True,SFC,,1452207600,
1019,WA_PT034,AIR_TEMP,1452211200,1452211200,30.8,Celsius,first,True,SFC,,1452211200,
1019,WA_PT034,AIR_TEMP,1452214800,1452214800,31.6,Celsius,first,True,SFC,,1452214800,
1019,WA_PT034,AIR_TEMP,1452218400,1452218400,33.4,Celsius,first,True,SFC,,1452218400,
1019,WA_PT034,AIR_TEMP,1452222000,1452222000,33.5,Celsius,first,True,SFC,,1452222000,
1019,WA_PT034,AIR_TEMP,1452225600,1452225600,34.5,Celsius,first,True,SFC,,1452225600,
1019,WA_PT034,AIR_TEMP,1452229200,1452229200,35.2,Celsius,first,True,SFC,,1452229200,
1019,WA_PT034,AIR_TEMP,1452232800,1452232800,35.2,Celsius,first,True,SFC,,1452232800,
1019,WA_PT034,AIR_TEMP,1452236400,1452236400,28.0,Celsius,first,True,SFC,,1452236400,
1019,WA_PT034,AIR_TEMP,1452240000,1452240000,26.9,Celsius,first,True,SFC,,1452240000,
1019,WA_PT034,AIR_TEMP,1452243600,1452243600,26.6,Celsius,first,True,SFC,,1452243600,
1019,WA_PT034,AIR_TEMP,1452247200,1452247200,26.6,Celsius,first,True,SFC,,1452247200,
1019,WA_PT034,AIR_TEMP,1452250800,1452250800,27.0,Celsius,first,True,SFC,,1452250800,
1019,WA_PT034,AIR_TEMP,1452254400,1452254400,26.3,Celsius,first,True,SFC,,1452254400,
1019,WA_PT034,AIR_TEMP,1452258000,1452258000,25.9,Celsius,first,True,SFC,,1452258000,
1019,WA_PT034,AIR_TEMP,1452261600,1452261600,26.2,Celsius,first,True,SFC,,1452261600,
1019,WA_PT034,AIR_TEMP,1452265200,1452265200,25.7,Celsius,first,True,SFC,,1452265200,
1020,WA_PT235,AIR_TEMP,1452182400,1452182400,27.7,Celsius,first,True,SFC,,1452182400,
1020,WA_PT235,AIR_TEMP,1452186000,1452186000,27.7,Celsius,first,True,SFC,,1452186000,
1020,WA_PT235,AIR_TEMP,1452189600,1452189600,27.5,Celsius,first,True,SFC,,1452189600,
1020,WA_PT235,AIR_TEMP,1452193200,1452193200,27.4,Celsius,first,True,SFC,,1452193200,
1020,WA_PT235,AIR_TEMP,1452200400,1452200400,28.3,Celsius,first,True,SFC,,1452193440,
1020,WA_PT235,AIR_TEMP,1452204000,1452204000,28.3,Celsius,first,True,SFC,,1452203580,
1020,WA_PT235,AIR_TEMP,1452207600,1452207600,29.2,Celsius,first,True,SFC,,1452207600,
1020,WA_PT235,AIR_TEMP,1452211200,1452211200,29.9,Celsius,first,True,SFC,,1452211200,
1020,WA_PT235,AIR_TEMP,1452214800,1452214800,30.7,Celsius,first,True,SFC,,1452214800,
1020,WA_PT235,AIR_TEMP,1452225600,1452225600,33.3,Celsius,first,True,SFC,,1452216420,
1020,WA_PT235,AIR_TEMP,1452243600,1452243600,27.0,Celsius,first,True,SFC,,1452228900,
1020,WA_PT235,AIR_TEMP,1452247200,1452247200,28.0,Celsius,first,True,SFC,,1452247200,
1020,WA_PT235,AIR_TEMP,1452250800,1452250800,27.2,Celsius,first,True,SFC,,1452250800,
1020,WA_PT235,AIR_TEMP,1452254400,1452254400,26.4,Celsius,first,True,SFC,,1452254400,
1020,WA_PT235,AIR_TEMP,1452258000,1452258000,26.7,Celsius,first,True,SFC,,1452258000,
1020,WA_PT235,AIR_TEMP,1452261600,1452261600,26.6,Celsius,first,True,SFC,,1452261600,
1020,WA_PT235,AIR_TEMP,1452265200,1452265200,26.7,Celsius,first,True,SFC,,1452265200,
2012,WA_PT029,AIR_TEMP,1452182400,1452182400,27.1,Celsius,first,True,SFC,,1452182400,
2012,WA_PT029,AIR_TEMP,1452186000,1452186000,28.0,Celsius,first,True,SFC,,1452186000,
